STN,DATE,TIME,DEWP,STP,TEMP,SLP,VISIB,WDSP,PRCP,SNDP,FRSHTT,CLDC,WNDDIR
488600,2019-01-28,11:39:52,17.7,1015.5,18.9,1016.4,18.0,3.4,0.00,0.0,000000,78.2,185
488260,2019-01-28,11:39:52,10.9,1006.7,18.9,1019.0,7.7,7.4,0.00,0.0,000000,83.7,188
488060,2019-01-28,11:39:52,12.9,932.7,21.8,1008.4,19.3,11.1,0.00,0.0,000000,11.8,338
483032,2019-01-28,11:39:52,19.6,989.1,19.9,997.9,5.0,11.6,0.00,0.0,000000,74.1,72
488750,2019-01-28,11:39:52,18.1,953.1,21.1,1014.3,11.1,20.1,0.00,0.0,000000,9.9,264
489400,2019-01-28,11:39:52,17.5,999.1,20.1,1008.8,9.8,3.6,0.00,0.0,000000,44.2,87
489350,2019-01-28,11:39:52,15.4,999.6,20.1,998.5,19.1,4.7,0.00,0.0,000000,57.2,205
489300,2019-01-28,11:39:52,16.3,970.8,20.1,1005.3,11.9,5.7,0.00,0.0,000000,50.5,132
488525,2019-01-28,11:39:52,17.1,1004.5,20.1,976.3,9.0,8.1,0.00,0.0,000000,35.2,11
488526,2019-01-28,11:39:52,18.3,1006.8,20.9,1018.9,10.1,9.9,0.00,0.0,000000,27.8,137
483900,2019-01-28,11:39:52,16.6,999.9,20.2,1016.1,9.1,11.6,0.00,0.0,000000,33.9,124
489015,2019-01-28,11:39:52,22.5,1005.1,20.2,1010.3,10.8,4.2,0.00,0.0,000000,58.6,153
483530,2019-01-28,11:39:52,16.7,1004.4,23.1,1013.4,6.6,4.6,0.00,0.0,000000,50.9,194
484620,2019-01-28,11:39:52,18.1,1017.2,20.4,1012.0,6.3,6.1,0.00,0.0,000000,50.9,183
489100,2019-01-28,11:39:52,22.6,1009.8,20.4,1010.2,11.0,7.4,0.00,0.0,000000,27.9,145
489125,2019-01-28,11:39:52,21.9,1007.6,20.4,989.9,11.4,5.2,0.00,0.0,000000,25.2,37
489130,2019-01-28,11:39:52,16.4,1010.6,24.0,1008.8,13.9,14.6,0.00,0.0,000000,52.6,227
489041,2019-01-28,11:39:52,17.6,1010.6,24.1,1014.0,17.4,18.1,0.00,0.0,000000,91.5,347
485690,2019-01-28,11:39:52,24.9,1010.8,20.8,1011.1,10.9,7.4,0.09,0.0,010000,51.1,355
485670,2019-01-28,11:39:52,25.3,1007.2,20.8,1008.7,8.5,6.6,0.00,0.0,000000,47.3,240
484550,2019-01-28,11:39:52,21.1,1009.5,20.8,1011.3,8.4,6.0,0.00,0.0,000000,42.2,194
483000,2019-01-28,11:39:52,18.8,978.9,21.6,1010.7,8.1,1.9,0.95,0.0,010000,50.8,53
484260,2019-01-28,11:39:52,18.6,1044.1,20.8,1013.0,8.5,1.6,0.00,0.0,000000,59.8,354
489070,2019-01-28,11:39:52,19.6,1011.1,24.2,1011.4,21.6,10.3,0.00,0.0,000000,63.1,274
484780,2019-01-28,11:39:52,21.8,1008.4,21.0,1006.4,9.7,8.4,0.00,0.0,000000,58.7,54
488676,2019-01-28,11:39:52,22.0,1006.7,21.0,1021.2,11.1,12.4,0.00,0.0,000000,76.9,258
488685,2019-01-28,11:39:52,18.0,1007.1,20.3,989.0,11.1,8.7,0.00,0.0,000000,43.3,217
483030,2019-01-28,11:39:52,19.2,1021.3,25.1,1015.2,7.9,0.5,0.00,0.0,000000,64.6,174
484075,2019-01-28,11:39:52,19.7,1014.6,21.1,1006.8,8.7,4.7,0.00,0.0,000000,61.3,149
484076,2019-01-28,11:39:52,14.0,1013.9,23.9,1035.7,6.3,5.2,0.00,0.0,000000,57.8,18
489006,2019-01-28,11:39:52,21.8,991.3,21.1,986.8,10.8,1.4,0.00,0.0,000000,21.5,348
489005,2019-01-28,11:39:52,20.2,1007.3,24.6,1005.1,9.4,4.1,0.00,0.0,000000,9.3,112
489000,2019-01-28,11:39:52,20.1,1011.3,21.5,1011.2,12.8,9.0,0.00,0.0,000000,68.3,300
489140,2019-01-28,11:39:52,22.9,1010.2,21.5,1011.9,19.1,10.2,0.00,0.0,000000,53.0,157
483750,2019-01-28,11:39:52,18.8,1005.4,21.5,1011.4,6.9,3.7,0.00,0.0,000000,27.8,142
483770,2019-01-28,11:39:52,15.6,1002.2,21.5,1006.9,2.2,13.0,0.00,0.0,000000,82.9,119
483800,2019-01-28,11:39:52,22.5,1000.2,21.6,1009.8,3.5,1.4,0.00,0.0,000000,44.0,221
485680,2019-01-28,11:39:52,22.1,1009.0,25.5,1011.7,10.1,23.8,0.11,0.0,010000,50.5,342
488450,2019-01-28,11:39:52,21.6,1012.1,22.0,1013.1,20.5,4.1,0.00,0.0,000000,79.2,15
488510,2019-01-28,11:39:52,18.4,1011.6,21.3,1037.9,6.0,8.5,0.00,0.0,000000,66.6,81
484610,2019-01-28,11:39:52,22.7,1004.2,21.9,1011.3,6.4,7.1,0.00,0.0,000000,34.2,193
488300,2019-01-28,11:39:52,7.4,991.0,21.9,1022.4,19.6,4.6,0.00,0.0,000000,22.3,79
489480,2019-01-28,11:39:52,15.5,1036.3,21.4,1021.4,12.4,3.5,0.00,0.0,000000,14.0,189
483270,2019-01-28,11:39:52,17.0,995.0,23.8,1011.3,6.8,4.6,0.02,0.0,010000,59.5,145
483545,2019-01-28,11:39:52,16.5,986.5,22.6,1009.2,6.8,2.8,0.00,0.0,000000,68.8,343
483540,2019-01-28,11:39:52,17.3,1003.8,23.7,1009.2,5.6,6.3,0.00,0.0,000000,61.6,239
488400,2019-01-28,11:39:52,12.7,1017.3,22.2,1018.8,15.3,5.5,0.00,0.0,000000,60.8,102
488230,2019-01-28,11:39:52,9.9,1019.7,22.2,1020.0,8.2,6.2,0.00,0.0,000000,66.4,78
488770,2019-01-28,11:39:52,17.9,1012.8,21.0,1009.7,16.8,9.9,0.00,0.0,000000,44.2,53
485320,2019-01-28,11:39:52,23.7,1008.6,22.1,1009.4,10.6,5.2,0.00,0.0,000000,3.2,29
485010,2019-01-28,11:39:52,23.7,1009.5,26.4,1010.0,7.3,3.9,0.04,0.0,010000,50.3,163
489180,2019-01-28,11:39:52,17.7,1009.4,21.0,1012.1,20.8,17.0,0.00,0.0,000000,10.6,105
488490,2019-01-28,11:39:52,21.5,1008.8,25.9,1013.5,11.8,8.7,0.00,0.0,000000,1.5,358
489470,2019-01-28,11:39:52,16.8,990.9,22.5,1008.3,13.0,3.9,0.00,0.0,000000,61.8,45
488660,2019-01-28,11:39:52,15.7,932.7,23.1,994.3,19.1,8.3,0.00,0.0,000000,50.1,93
483575,2019-01-28,11:39:52,21.9,1001.4,26.0,1005.7,11.0,3.3,0.00,0.0,000000,86.9,158
483570,2019-01-28,11:39:52,15.8,990.1,26.8,1005.3,12.4,3.2,0.00,0.0,000000,86.5,93
489550,2019-01-28,11:39:52,16.8,1004.7,22.9,1010.6,23.8,9.1,0.00,0.0,000000,3.1,54
488460,2019-01-28,11:39:52,20.2,1020.8,21.9,1011.7,9.2,1.2,0.00,0.0,000000,79.0,173
484250,2019-01-28,11:39:52,21.7,1010.4,22.8,1012.9,8.3,2.8,0.00,0.0,000000,68.4,340
