STN,DATE,TIME,DEWP,STP,TEMP,SLP,VISIB,WDSP,PRCP,SNDP,FRSHTT,CLDC,WNDDIR
368590,2019-01-24,11:25:06,-7.4,1004.8,7.0,1029.2,38.5,4.4,0.01,1.3,111000,50.5,337
749035,2019-01-24,11:25:06,12.4,999.8,7.0,1011.3,159.9,8.1,0.00,0.0,000000,26.4,203
471110,2019-01-24,11:25:06,-9.1,1000.4,7.0,988.8,9.6,1.0,0.02,0.4,111000,60.9,157
119760,2019-01-24,11:25:06,-5.8,993.7,7.0,1020.3,7.3,10.8,0.01,1.6,111000,87.4,58
947760,2019-01-24,11:25:06,-0.9,1013.5,7.0,1009.9,16.9,17.2,0.26,0.0,010000,67.2,86
749025,2019-01-24,11:25:06,15.8,1023.4,7.0,1011.0,164.0,25.4,0.00,0.0,000000,73.1,118
547050,2019-01-24,11:25:06,-8.3,1056.4,7.0,1032.9,7.0,2.5,0.00,0.0,100000,56.2,179
749027,2019-01-24,11:25:06,19.4,999.0,7.0,1012.1,161.4,13.4,0.00,0.0,000000,76.5,4
749026,2019-01-24,11:25:06,18.2,1008.4,7.0,1010.1,19.6,17.3,0.00,0.0,000000,38.4,339
33820,2019-01-24,11:25:06,-5.8,1021.3,7.0,1020.2,19.9,23.9,0.20,0.0,110000,51.0,283
34620,2019-01-24,11:25:06,-1.7,1014.3,7.0,1014.8,14.4,15.9,0.04,0.3,011000,50.7,290
263780,2019-01-24,11:25:06,-10.4,1014.4,7.0,1013.8,11.1,7.5,0.06,2.8,111000,81.7,218
842390,2019-01-24,11:25:06,-2.4,753.1,7.0,772.6,10.4,8.8,0.00,0.0,000000,88.7,95
103480,2019-01-24,11:25:06,-3.0,1007.7,7.0,1013.9,8.4,17.7,0.05,0.5,111000,50.8,285
348580,2019-01-24,11:25:06,-8.1,1017.6,7.0,1024.1,11.7,13.7,0.01,2.0,111000,50.1,167
172340,2019-01-24,11:25:06,-2.9,1021.0,7.0,1019.8,22.1,6.2,0.16,0.0,010000,50.2,188
73150,2019-01-24,11:25:06,0.7,1010.1,7.0,1015.3,20.3,11.9,0.16,0.0,010000,51.4,263
471920,2019-01-24,11:25:06,-11.0,1021.0,7.0,1023.7,24.7,6.5,0.05,0.0,110000,84.0,102
333170,2019-01-24,11:25:06,-7.3,1004.6,7.0,1019.9,15.9,16.9,0.04,3.8,111000,50.5,281
947470,2019-01-24,11:25:06,10.1,1005.1,7.0,997.7,8.2,3.2,0.05,0.0,010000,50.2,84
31770,2019-01-24,11:25:06,-0.5,1019.7,7.0,1008.2,26.4,28.9,0.00,0.0,000000,8.8,241
93980,2019-01-24,11:25:06,-3.6,984.4,7.0,1005.5,13.2,14.8,0.02,0.0,110000,55.5,239
728160,2019-01-24,11:25:06,-13.4,1006.0,7.0,1002.4,24.4,18.6,0.01,44.7,111000,50.6,174
107100,2019-01-24,11:25:06,1.1,1016.1,7.0,1017.2,1.3,54.4,0.86,0.0,010000,50.4,221
31760,2019-01-24,11:25:06,-0.2,984.1,7.0,963.6,13.4,9.2,0.00,0.0,000000,82.2,130
728170,2019-01-24,11:25:06,-12.9,1008.3,7.0,1007.2,20.7,14.7,0.34,0.5,111000,51.7,296
728180,2019-01-24,11:25:06,-21.0,1004.7,7.0,1015.1,22.3,27.3,0.10,41.0,111000,53.7,15
107080,2019-01-24,11:25:06,-1.3,1005.0,7.0,1016.9,4.3,10.5,0.17,0.6,111000,50.5,351
